ticker,strategy,strat_name,return_pct,bh_return,alpha,final_val,trades,won,lost,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,sharpe,max_dd
DGX,rsi_bb,RSI + Bollinger Band,4.52,52.99,-48.46,10452.27,4,4,0,100.0,113.07,0.0,0.0,1.0,-12.25,1.65
DGX,ema_cross,EMA 21/50 Cross,-0.02,52.99,-53.01,9997.58,3,2,1,66.7,28.92,-103.98,0.28,0.56,-13.62,3.91
DGX,macd_signal,MACD Signal Flip,2.93,52.99,-50.06,10292.69,10,6,4,60.0,104.8,-59.49,1.76,2.64,-1.74,3.96
DGX,breakout,20-Day Breakout,4.39,52.99,-48.6,10439.13,4,3,1,75.0,152.08,-17.1,8.89,26.68,-17.5,2.55
GDDY,rsi_bb,RSI + Bollinger Band,-7.35,-37.37,30.02,9264.75,4,1,3,25.0,227.22,-108.0,2.1,0.7,-2.7,9.46
GDDY,ema_cross,EMA 21/50 Cross,-0.77,-37.37,36.61,9923.48,1,0,1,0.0,0.0,-76.52,0.0,0.0,-14.57,0.97
GDDY,macd_signal,MACD Signal Flip,5.72,-37.37,43.1,10572.13,8,3,5,37.5,280.35,-53.78,5.21,3.13,-1.07,1.37
GDDY,breakout,20-Day Breakout,5.07,-37.37,42.44,10506.98,3,2,1,66.7,415.57,-324.16,1.28,2.56,-0.67,4.35
GIS,rsi_bb,RSI + Bollinger Band,-3.41,-41.68,38.26,9658.6,6,4,2,66.7,88.06,-224.75,0.39,0.78,-18.55,5.57
GIS,ema_cross,EMA 21/50 Cross,-0.92,-41.68,40.76,9908.16,2,1,1,50.0,40.85,-132.7,0.31,0.31,-7.18,3.28
GIS,macd_signal,MACD Signal Flip,-2.1,-41.68,39.58,9790.3,2,0,2,0.0,0.0,-104.85,0.0,0.0,-5.76,2.17
